537.348	-187.317	1.965	-116.414
535.043	-185.239	1.813	-96.230
538.007	-185.300	1.982	-112.972
816.620	-270.217	2.709	-116.788
1220.894	-1197.575	1.167	-189.846
1219.115	-1380.681	1.948	-189.343
1054.320	-395.772	2.822	-127.035
1219.459	-1199.953	2.239	-169.562
1217.705	-784.035	2.864	-163.242
1217.223	-1382.580	1.958	-188.895
1224.408	-1197.566	2.914	-185.494
1218.985	-1606.035	2.323	-176.797
1223.448	-1381.076	1.937	-169.367
1221.095	-1896.894	2.269	-170.673
1222.755	-1604.556	2.997	-183.200
1212.910	-2020.826	2.294	-188.632
1207.746	-2292.288	2.772	-168.973
1220.971	-2019.660	3.834	-171.486
1204.482	-2251.390	2.429	-168.345
