-313.1079916954	434.0400302410
-313.1330733299	437.5399383307
-321.2883768082	430.4814600945
-313.8579602242	434.0346901417
-313.8830437660	437.5345981121
-322.0383453369	430.4761199951
-314.6079592705	434.0293194056
-314.6330447197	437.5292274952
-322.7883443832	430.4707489014
-315.3579273224	434.0239487886
-315.3830156326	437.5238567591
-323.5383129120	430.4653782845
-316.1078958511	434.0186086893
-316.1329860687	437.5185166597
-324.2882814407	430.4600381851
-316.8578948975	434.0132379532
-316.8829870224	437.5131460428
-325.0382804871	430.4546675682
-317.6078634262	434.0078673363
-317.6329574585	437.5077753067
-325.7882490158	430.4492969513
-318.3578624725	434.0024967194
-318.3829584122	437.5024046898
-326.5382480621	430.4439263344
-319.1078310013	433.9971565008
-319.1329288483	437.4970645905
-327.2882165909	430.4385862350
-319.8577995300	433.9917858839
-319.8828992844	437.4916938543
-328.0381851196	430.4332156181
-320.6077980995	433.9864151478
-320.6329002380	437.4863232374
-328.7881841660	430.4278354645
-321.3577666283	433.9810750484
-321.3828711510	437.4809831381
-329.5381517410	430.4224920273
-322.1077351570	433.9757045507
-322.1328415871	437.4756124020
-330.2881202698	430.4171166420
-322.8577342033	433.9703315496
-322.8828430176	437.4702965021
-331.0381193161	430.4117383957
-323.6077027321	433.9649617672
-323.6328134537	437.4648927450
-331.7880878448	430.4063534737
-324.3577017784	433.9596216679
-324.3828144073	437.4595639706
-332.5380868912	430.4010128975
-325.1076703072	433.9542510509
-325.1327853203	437.4542157650
-333.2880563736	430.3956050873
-325.8576388359	433.9488804340
-325.8827562332	437.4488775730
-334.0380249023	430.3902149200
-326.6076374054	433.9435403347
-326.6327576637	437.4435292482
-334.7880239487	430.3848900795
-327.3576059341	433.9381697178
-327.3827276230	437.4381424189
-335.5379924774	430.3795261383
-328.1075744629	433.9328004122
-328.1326990128	437.4327949286
-336.2879610062	430.3741683960
-328.8575735092	433.9274297953
-328.8826990128	437.4273724556
-337.0379600525	430.3687944412
-329.6075420380	433.9220896959
-329.6326699257	437.4220280647
-337.7879285812	430.3634843826
-330.3575105667	433.9167191982
-330.3826403618	437.4166420698
-338.5378608704	430.3581495285
-331.1075096130	433.9113487005
-331.1326413155	437.4112421274
-339.2877988815	430.3528137207
-331.8574781418	433.9060088396
-331.8826117516	437.4058583975
-340.0377063751	430.3475141525
-332.6074767113	433.9006384611
-332.6326117516	437.4004336596
-340.7876434326	430.3421869278
-333.3574452400	433.8952684402
-333.3825817108	437.3950061798
-341.5375518799	430.3368616104
-334.1074137688	433.8898983002
-334.1325511932	437.3895858526
-342.2874584198	430.3315358162
-334.8574128151	433.8845582008
-334.8825521469	437.3842126131
-343.0373954773	430.3262400627
-335.6073813438	433.8791873455
